class,name
Buffalo,Buffalo_1
Buffalo,Buffalo_10
Buffalo,Buffalo_100
Buffalo,Buffalo_101
Buffalo,Buffalo_102
Buffalo,Buffalo_103
Buffalo,Buffalo_104
Buffalo,Buffalo_105
Buffalo,Buffalo_106
Buffalo,Buffalo_107
Buffalo,Buffalo_108
Buffalo,Buffalo_109
Buffalo,Buffalo_11
Buffalo,Buffalo_110
Buffalo,Buffalo_111
Buffalo,Buffalo_112
Buffalo,Buffalo_113
Buffalo,Buffalo_114
Buffalo,Buffalo_115
Buffalo,Buffalo_116
Buffalo,Buffalo_117
Buffalo,Buffalo_118
Buffalo,Buffalo_119
Buffalo,Buffalo_12
Buffalo,Buffalo_120
Buffalo,Buffalo_121
Buffalo,Buffalo_122
Buffalo,Buffalo_123
Buffalo,Buffalo_124
Buffalo,Buffalo_125
Buffalo,Buffalo_126
Buffalo,Buffalo_127
Buffalo,Buffalo_128
Buffalo,Buffalo_129
Buffalo,Buffalo_13
Buffalo,Buffalo_130
Buffalo,Buffalo_131
Buffalo,Buffalo_132
Buffalo,Buffalo_133
Buffalo,Buffalo_134
Buffalo,Buffalo_135
Buffalo,Buffalo_136
Buffalo,Buffalo_137
Buffalo,Buffalo_138
Buffalo,Buffalo_139
Buffalo,Buffalo_14
Buffalo,Buffalo_140
Buffalo,Buffalo_141
Buffalo,Buffalo_142
Buffalo,Buffalo_143
Buffalo,Buffalo_144
Buffalo,Buffalo_145
Buffalo,Buffalo_146
Buffalo,Buffalo_147
Buffalo,Buffalo_148
Buffalo,Buffalo_149
Buffalo,Buffalo_15
Buffalo,Buffalo_150
Buffalo,Buffalo_151
Buffalo,Buffalo_152
Buffalo,Buffalo_153
Buffalo,Buffalo_154
Buffalo,Buffalo_155
Buffalo,Buffalo_156
Buffalo,Buffalo_157
Buffalo,Buffalo_158
Buffalo,Buffalo_159
Buffalo,Buffalo_16
Buffalo,Buffalo_160
Buffalo,Buffalo_161
Buffalo,Buffalo_162
Buffalo,Buffalo_163
Buffalo,Buffalo_164
Buffalo,Buffalo_165
Buffalo,Buffalo_166
Buffalo,Buffalo_167
Buffalo,Buffalo_168
Buffalo,Buffalo_169
Buffalo,Buffalo_17
Buffalo,Buffalo_170
Buffalo,Buffalo_171
Buffalo,Buffalo_172
Buffalo,Buffalo_173
Buffalo,Buffalo_174
Buffalo,Buffalo_175
Buffalo,Buffalo_176
Buffalo,Buffalo_177
Buffalo,Buffalo_178
Buffalo,Buffalo_179
Buffalo,Buffalo_18
Buffalo,Buffalo_180
Buffalo,Buffalo_181
Buffalo,Buffalo_182
Buffalo,Buffalo_183
Buffalo,Buffalo_184
Buffalo,Buffalo_185
Buffalo,Buffalo_186
Buffalo,Buffalo_187
Buffalo,Buffalo_188
Buffalo,Buffalo_189
Buffalo,Buffalo_19
Buffalo,Buffalo_190
Buffalo,Buffalo_191
Buffalo,Buffalo_192
Buffalo,Buffalo_193
Buffalo,Buffalo_194
Buffalo,Buffalo_195
Buffalo,Buffalo_196
Buffalo,Buffalo_197
Buffalo,Buffalo_198
Buffalo,Buffalo_199
Buffalo,Buffalo_2
Buffalo,Buffalo_20
Buffalo,Buffalo_200
Buffalo,Buffalo_201
Buffalo,Buffalo_202
Buffalo,Buffalo_203
Buffalo,Buffalo_204
Buffalo,Buffalo_205
Buffalo,Buffalo_206
Buffalo,Buffalo_207
Buffalo,Buffalo_208
Buffalo,Buffalo_209
Buffalo,Buffalo_21
Buffalo,Buffalo_210
Buffalo,Buffalo_211
Buffalo,Buffalo_212
Buffalo,Buffalo_213
Buffalo,Buffalo_214
Buffalo,Buffalo_215
Buffalo,Buffalo_216
Buffalo,Buffalo_217
Buffalo,Buffalo_218
Buffalo,Buffalo_219
Buffalo,Buffalo_22
Buffalo,Buffalo_220
Buffalo,Buffalo_221
Buffalo,Buffalo_222
Buffalo,Buffalo_223
Buffalo,Buffalo_224
Buffalo,Buffalo_225
Buffalo,Buffalo_226
Buffalo,Buffalo_227
Buffalo,Buffalo_228
Buffalo,Buffalo_229
Buffalo,Buffalo_23
Buffalo,Buffalo_230
Buffalo,Buffalo_231
Buffalo,Buffalo_232
Buffalo,Buffalo_233
Buffalo,Buffalo_234
Buffalo,Buffalo_235
Buffalo,Buffalo_236
Buffalo,Buffalo_237
Buffalo,Buffalo_238
Buffalo,Buffalo_239
Buffalo,Buffalo_24
Buffalo,Buffalo_240
Buffalo,Buffalo_241
Buffalo,Buffalo_242
Buffalo,Buffalo_243
Buffalo,Buffalo_244
Buffalo,Buffalo_245
Buffalo,Buffalo_246
Buffalo,Buffalo_247
Buffalo,Buffalo_248
Buffalo,Buffalo_249
Buffalo,Buffalo_25
Buffalo,Buffalo_250
Buffalo,Buffalo_26
Buffalo,Buffalo_27
Buffalo,Buffalo_28
Buffalo,Buffalo_29
Buffalo,Buffalo_3
Buffalo,Buffalo_30
Buffalo,Buffalo_31
Buffalo,Buffalo_32
Buffalo,Buffalo_33
Buffalo,Buffalo_34
Buffalo,Buffalo_35
Buffalo,Buffalo_36
Buffalo,Buffalo_37
Buffalo,Buffalo_38
Buffalo,Buffalo_39
Buffalo,Buffalo_4
Buffalo,Buffalo_40
Buffalo,Buffalo_41
Buffalo,Buffalo_42
Buffalo,Buffalo_43
Buffalo,Buffalo_44
Buffalo,Buffalo_45
Buffalo,Buffalo_46
Buffalo,Buffalo_47
Buffalo,Buffalo_48
Buffalo,Buffalo_49
Buffalo,Buffalo_5
Buffalo,Buffalo_50
Buffalo,Buffalo_51
Buffalo,Buffalo_52
Buffalo,Buffalo_53
Buffalo,Buffalo_54
Buffalo,Buffalo_55
Buffalo,Buffalo_56
Buffalo,Buffalo_57
Buffalo,Buffalo_58
Buffalo,Buffalo_59
Buffalo,Buffalo_6
Buffalo,Buffalo_60
Buffalo,Buffalo_61
Buffalo,Buffalo_62
Buffalo,Buffalo_63
Buffalo,Buffalo_64
Buffalo,Buffalo_65
Buffalo,Buffalo_66
Buffalo,Buffalo_67
Buffalo,Buffalo_68
Buffalo,Buffalo_69
Buffalo,Buffalo_7
Buffalo,Buffalo_70
Buffalo,Buffalo_71
Buffalo,Buffalo_72
Buffalo,Buffalo_73
Buffalo,Buffalo_74
Buffalo,Buffalo_75
Buffalo,Buffalo_76
Buffalo,Buffalo_77
Buffalo,Buffalo_78
Buffalo,Buffalo_79
Buffalo,Buffalo_8
Buffalo,Buffalo_80
Buffalo,Buffalo_81
Buffalo,Buffalo_82
Buffalo,Buffalo_83
Buffalo,Buffalo_84
Buffalo,Buffalo_85
Buffalo,Buffalo_86
Buffalo,Buffalo_87
Buffalo,Buffalo_88
Buffalo,Buffalo_89
Buffalo,Buffalo_9
Buffalo,Buffalo_90
Buffalo,Buffalo_91
Buffalo,Buffalo_92
Buffalo,Buffalo_93
Buffalo,Buffalo_94
Buffalo,Buffalo_95
Buffalo,Buffalo_96
Buffalo,Buffalo_97
Buffalo,Buffalo_98
Buffalo,Buffalo_99
Elephant,Elephant_1
Elephant,Elephant_10
Elephant,Elephant_100
Elephant,Elephant_101
Elephant,Elephant_102
Elephant,Elephant_103
Elephant,Elephant_104
Elephant,Elephant_105
Elephant,Elephant_106
Elephant,Elephant_107
Elephant,Elephant_108
Elephant,Elephant_109
Elephant,Elephant_11
Elephant,Elephant_110
Elephant,Elephant_111
Elephant,Elephant_112
Elephant,Elephant_113
Elephant,Elephant_114
Elephant,Elephant_115
Elephant,Elephant_116
Elephant,Elephant_117
Elephant,Elephant_118
Elephant,Elephant_119
Elephant,Elephant_12
Elephant,Elephant_120
Elephant,Elephant_121
Elephant,Elephant_122
Elephant,Elephant_123
Elephant,Elephant_124
Elephant,Elephant_125
Elephant,Elephant_126
Elephant,Elephant_127
Elephant,Elephant_128
Elephant,Elephant_129
Elephant,Elephant_13
Elephant,Elephant_130
Elephant,Elephant_131
Elephant,Elephant_132
Elephant,Elephant_133
Elephant,Elephant_134
Elephant,Elephant_135
Elephant,Elephant_136
Elephant,Elephant_137
Elephant,Elephant_138
Elephant,Elephant_139
Elephant,Elephant_14
Elephant,Elephant_140
Elephant,Elephant_141
Elephant,Elephant_142
Elephant,Elephant_143
Elephant,Elephant_144
Elephant,Elephant_145
Elephant,Elephant_146
Elephant,Elephant_147
Elephant,Elephant_148
Elephant,Elephant_149
Elephant,Elephant_15
Elephant,Elephant_150
Elephant,Elephant_151
Elephant,Elephant_152
Elephant,Elephant_153
Elephant,Elephant_154
Elephant,Elephant_155
Elephant,Elephant_156
Elephant,Elephant_157
Elephant,Elephant_158
Elephant,Elephant_159
Elephant,Elephant_16
Elephant,Elephant_160
Elephant,Elephant_161
Elephant,Elephant_162
Elephant,Elephant_163
Elephant,Elephant_164
Elephant,Elephant_165
Elephant,Elephant_166
Elephant,Elephant_167
Elephant,Elephant_168
Elephant,Elephant_169
Elephant,Elephant_17
Elephant,Elephant_170
Elephant,Elephant_171
Elephant,Elephant_172
Elephant,Elephant_173
Elephant,Elephant_174
Elephant,Elephant_175
Elephant,Elephant_176
Elephant,Elephant_177
Elephant,Elephant_178
Elephant,Elephant_179
Elephant,Elephant_18
Elephant,Elephant_180
Elephant,Elephant_181
Elephant,Elephant_182
Elephant,Elephant_183
Elephant,Elephant_184
Elephant,Elephant_185
Elephant,Elephant_186
Elephant,Elephant_187
Elephant,Elephant_188
Elephant,Elephant_189
Elephant,Elephant_19
Elephant,Elephant_190
Elephant,Elephant_191
Elephant,Elephant_192
Elephant,Elephant_193
Elephant,Elephant_194
Elephant,Elephant_195
Elephant,Elephant_196
Elephant,Elephant_197
Elephant,Elephant_198
Elephant,Elephant_199
Elephant,Elephant_2
Elephant,Elephant_20
Elephant,Elephant_200
Elephant,Elephant_201
Elephant,Elephant_202
Elephant,Elephant_203
Elephant,Elephant_204
Elephant,Elephant_205
Elephant,Elephant_206
Elephant,Elephant_207
Elephant,Elephant_208
Elephant,Elephant_209
Elephant,Elephant_21
Elephant,Elephant_210
Elephant,Elephant_211
Elephant,Elephant_212
Elephant,Elephant_213
Elephant,Elephant_214
Elephant,Elephant_215
Elephant,Elephant_216
Elephant,Elephant_217
Elephant,Elephant_218
Elephant,Elephant_219
Elephant,Elephant_22
Elephant,Elephant_220
Elephant,Elephant_221
Elephant,Elephant_222
Elephant,Elephant_223
Elephant,Elephant_224
Elephant,Elephant_225
Elephant,Elephant_226
Elephant,Elephant_227
Elephant,Elephant_228
Elephant,Elephant_229
Elephant,Elephant_23
Elephant,Elephant_230
Elephant,Elephant_231
Elephant,Elephant_232
Elephant,Elephant_233
Elephant,Elephant_234
Elephant,Elephant_235
Elephant,Elephant_236
Elephant,Elephant_237
Elephant,Elephant_238
Elephant,Elephant_239
Elephant,Elephant_24
Elephant,Elephant_240
Elephant,Elephant_241
Elephant,Elephant_242
Elephant,Elephant_243
Elephant,Elephant_244
Elephant,Elephant_245
Elephant,Elephant_246
Elephant,Elephant_247
Elephant,Elephant_248
Elephant,Elephant_249
Elephant,Elephant_25
Elephant,Elephant_250
Elephant,Elephant_26
Elephant,Elephant_27
Elephant,Elephant_28
Elephant,Elephant_29
Elephant,Elephant_3
Elephant,Elephant_30
Elephant,Elephant_31
Elephant,Elephant_32
Elephant,Elephant_33
Elephant,Elephant_34
Elephant,Elephant_35
Elephant,Elephant_36
Elephant,Elephant_37
Elephant,Elephant_38
Elephant,Elephant_39
Elephant,Elephant_4
Elephant,Elephant_40
Elephant,Elephant_41
Elephant,Elephant_42
Elephant,Elephant_43
Elephant,Elephant_44
Elephant,Elephant_45
Elephant,Elephant_46
Elephant,Elephant_47
Elephant,Elephant_48
Elephant,Elephant_49
Elephant,Elephant_5
Elephant,Elephant_50
Elephant,Elephant_51
Elephant,Elephant_52
Elephant,Elephant_53
Elephant,Elephant_54
Elephant,Elephant_55
Elephant,Elephant_56
Elephant,Elephant_57
Elephant,Elephant_58
Elephant,Elephant_59
Elephant,Elephant_6
Elephant,Elephant_60
Elephant,Elephant_61
Elephant,Elephant_62
Elephant,Elephant_63
Elephant,Elephant_64
Elephant,Elephant_65
Elephant,Elephant_66
Elephant,Elephant_67
Elephant,Elephant_68
Elephant,Elephant_69
Elephant,Elephant_7
Elephant,Elephant_70
Elephant,Elephant_71
Elephant,Elephant_72
Elephant,Elephant_73
Elephant,Elephant_74
Elephant,Elephant_75
Elephant,Elephant_76
Elephant,Elephant_77
Elephant,Elephant_78
Elephant,Elephant_79
Elephant,Elephant_8
Elephant,Elephant_80
Elephant,Elephant_81
Elephant,Elephant_82
Elephant,Elephant_83
